DayofMonth,DayOfWeek,Carrier,OriginAirportID,DestAirportID,DepDelay,ArrDelay
20,6,DL,13495,10397,-2,-17
20,6,DL,10397,13244,-4,-9
20,6,DL,10397,10140,-5,-19
20,6,DL,10140,10397,-2,-16
20,6,DL,10397,10792,0,-14
20,6,DL,10792,10397,-2,-10
20,6,DL,14492,11433,-1,-13
20,6,DL,10397,15376,-3,-22
20,6,DL,13487,10397,-5,-21
20,6,DL,10397,11066,-5,-18
20,6,DL,12953,11433,-3,-10
20,6,DL,10397,11697,-8,-16
20,6,DL,11433,13204,-3,-13
20,6,DL,14635,10397,0,3
20,6,DL,10397,15304,2,-8
20,6,DL,13487,14747,-4,-15
20,6,DL,14747,12173,-4,-5
20,6,DL,11618,11433,6,-4
20,6,DL,14771,12478,-4,-20
20,6,DL,14869,12892,-5,-15
20,6,DL,10397,11618,-3,-23
20,6,DL,13487,15304,-1,2
20,6,DL,11433,11278,-5,-19
20,6,DL,12173,14747,-4,-8
20,6,DL,10397,12266,-1,-10
20,6,DL,10397,11057,-2,-17
20,6,DL,14908,14869,-3,-17
20,6,DL,14057,12478,-2,-23
18,4,DL,13487,14869,9,-12
18,4,DL,13487,13342,-3,-14
18,4,DL,13342,13487,103,90
18,4,DL,12892,12478,-3,-6
18,4,DL,11433,13342,31,24
18,4,DL,13204,13244,-5,-16
18,4,DL,14730,10397,10,4
18,4,DL,10397,14679,292,293
18,4,DL,14679,10397,1,-11
18,4,DL,12892,13487,-2,-14
18,4,DL,10397,13204,25,117
18,4,DL,11193,14869,129,109
18,4,DL,13204,12889,-3,-15
18,4,DL,12889,13204,-8,-6
18,4,DL,13204,12953,-2,12
18,4,DL,14869,14679,28,14
18,4,DL,13487,14831,76,61
18,4,DL,10397,12339,0,-7
18,4,DL,10397,14122,-8,-5
18,4,DL,14122,10397,1,-6
18,4,DL,15016,13487,-6,-11
18,4,DL,12953,13204,184,185
18,4,DL,10397,10721,57,59
18,4,DL,10397,11042,2,7
18,4,DL,13487,12953,12,-4
18,4,DL,13204,13487,10,51
18,4,DL,11193,14635,-2,3
18,4,DL,14635,11193,-1,25
18,4,DL,13487,14771,57,58
18,4,DL,14771,13487,138,181
18,4,DL,10693,10397,213,221
18,4,DL,10397,11298,49,85
18,4,DL,11298,10397,183,176
18,4,DL,14869,10299,3,-6
18,4,DL,11193,10397,0,-16
18,4,DL,12953,13487,0,-8
18,4,DL,13487,11697,-2,14
18,4,DL,11697,13487,18,3
18,4,DL,13487,12892,5,-4
18,4,DL,13244,11433,-1,-11
18,4,DL,14869,10397,-3,-16
18,4,DL,11697,10397,-4,-11
18,4,DL,13204,11433,8,2
18,4,DL,10397,14747,19,10
18,4,DL,12892,14869,-3,-18
18,4,DL,12892,13495,-1,-7
18,4,DL,11433,14869,120,109
18,4,DL,11618,10397,-4,-7
18,4,DL,11057,11433,9,18
18,4,DL,11193,12889,255,262
18,4,DL,12889,11193,13,5
18,4,DL,14869,11433,22,21
18,4,DL,10397,12478,-1,-2
18,4,DL,10397,14492,6,-1
18,4,DL,14492,10397,-8,-6
18,4,DL,14027,12953,263,251
18,4,DL,11278,14869,-1,-22
18,4,DL,14869,11278,95,96
18,4,DL,12173,12892,5,17
18,4,DL,12892,12173,945,945
18,4,DL,12953,14027,-1,-10
18,4,DL,13487,14893,11,7
18,4,DL,10397,13303,-2,-18
18,4,DL,13303,10397,-6,-2
18,4,DL,14869,14771,22,61
18,4,DL,14771,14869,2,-4
18,4,DL,10397,13342,-2,-13
18,4,DL,13342,10397,0,36
18,4,DL,10397,13487,11,-3
18,4,DL,11433,13495,-1,-19
18,4,DL,14908,13487,-7,-12
18,4,DL,14893,14869,18,13
18,4,DL,12478,15304,24,-20
18,4,DL,12953,15304,-4,26
18,4,DL,14771,11193,-4,-16
18,4,DL,11292,13487,-2,-9
18,4,DL,10397,14524,-1,10
18,4,DL,14524,10397,-3,44
18,4,DL,12478,13204,59,48
18,4,DL,13204,12478,21,23
18,4,DL,12478,14869,-7,-10
18,4,DL,12266,10397,6,8
18,4,DL,12892,11433,0,-9
18,4,DL,12478,14771,-4,3
18,4,DL,12889,10397,-4,-9
18,4,DL,10397,12889,-4,13
18,4,DL,12478,11697,-1,-11
18,4,DL,12478,11433,22,6
18,4,DL,12892,10397,110,105
18,4,DL,10397,11433,-9,20
18,4,DL,11433,11292,-6,-7
18,4,DL,11433,10721,2,-10
18,4,DL,10721,11433,136,127
18,4,DL,12478,12889,-4,-1
18,4,DL,14747,12478,-1,-16
18,4,DL,12478,14747,-1,-11
18,4,DL,12478,14107,10,0
18,4,DL,14679,12478,-5,-9
18,4,DL,11697,11433,1,-3
18,4,DL,12478,13303,51,75
18,4,DL,12478,14843,18,9
18,4,DL,13204,14869,205,190
18,4,DL,14843,12478,139,171
18,4,DL,15376,10397,-3,-1
18,4,DL,10397,14893,-5,-10
18,4,DL,14893,10397,-3,19
18,4,DL,12889,12478,74,78
18,4,DL,10397,10693,-1,-22
18,4,DL,10721,13487,-7,3
18,4,DL,14843,10397,-3,1
18,4,DL,13487,13244,-3,-8
18,4,DL,10397,14843,27,8
18,4,DL,12889,14869,-1,-4
18,4,DL,13244,13487,-1,-26
18,4,DL,13495,12953,4,10
18,4,DL,12889,13244,12,17
18,4,DL,10397,14635,0,-3
18,4,DL,14869,11193,-2,-10
18,4,DL,12478,14679,-6,-9
18,4,DL,10397,10529,-6,-21
18,4,DL,12953,13303,0,42
18,4,DL,14057,10397,-4,-10
18,4,DL,11057,14869,-4,-19
18,4,DL,14869,11057,1,3
18,4,DL,10821,13487,5,-6
18,4,DL,12478,11292,-4,-4
18,4,DL,13232,10397,-5,-12
18,4,DL,15304,12953,37,17
18,4,DL,14683,10397,4,10
18,4,DL,11292,10397,1,-19
18,4,DL,14679,13487,-1,-12
18,4,DL,11278,11433,5,14
18,4,DL,11433,15016,-2,-9
18,4,DL,11433,10693,-10,-13
18,4,DL,10693,11433,23,19
18,4,DL,11433,15304,392,377
18,4,DL,12339,11433,17,11
18,4,DL,12953,13495,11,-3
18,4,DL,12478,10423,3,-3
18,4,DL,14869,14831,-1,-12
18,4,DL,11433,14747,-6,-23
18,4,DL,11433,14771,0,-8
18,4,DL,10397,13232,-4,8
18,4,DL,10397,14307,1,-17
18,4,DL,10397,14057,3,-6
18,4,DL,14869,12889,-2,-10
18,4,DL,10397,14730,537,588
18,4,DL,13303,12478,-7,-2
18,4,DL,13303,11433,1,-7
18,4,DL,11433,12339,1,-6
18,4,DL,11193,13204,-4,-14
18,4,DL,13487,10721,-3,-6
18,4,DL,10397,13930,1,-18
18,4,DL,13204,10721,-2,-9
18,4,DL,13487,13871,11,32
18,4,DL,13871,13487,16,-9
18,4,DL,14747,11433,-4,-13
18,4,DL,10721,11193,-4,-12
18,4,DL,13198,12892,-1,2
18,4,DL,11433,14679,0,-17
18,4,DL,14679,11433,-6,-21
18,4,DL,14635,12953,-6,19
18,4,DL,12173,10397,17,13
18,4,DL,10397,12173,2,-16
18,4,DL,13244,15304,-8,-10
18,4,DL,10397,13871,-6,-32
18,4,DL,13871,10397,0,0
18,4,DL,14107,10397,-3,-14
18,4,DL,12892,14492,113,109
18,4,DL,15304,13244,-4,-14
18,4,DL,11433,14635,-4,-10
19,5,DL,14771,11433,-1,22
19,5,DL,10721,12478,14,37
19,5,DL,13303,12953,164,191
19,5,DL,12339,12892,13,66
19,5,DL,12892,13204,4,2
19,5,DL,12953,11292,52,33
19,5,DL,15304,12478,35,29
19,5,DL,15304,11433,4,7
19,5,DL,11193,10721,-5,18
19,5,DL,13487,13930,14,14
19,5,DL,13930,13487,50,64
19,5,DL,11697,11193,132,120
19,5,DL,11193,11697,11,2
19,5,DL,10821,14869,0,-10
19,5,DL,13487,10821,-1,-12
19,5,DL,12892,13198,-1,20
19,5,DL,13487,13303,7,10
19,5,DL,14869,14057,-5,-10
19,5,DL,11433,12266,0,-19
19,5,DL,12892,12339,4,10
19,5,DL,13487,11298,-5,-20
19,5,DL,12953,14122,16,0
19,5,DL,14869,13244,-5,-17
19,5,DL,14122,12953,-1,26
19,5,DL,13495,12892,8,6
19,5,DL,13487,11278,4,1
19,5,DL,14771,10397,45,50
19,5,DL,13487,14679,49,66
19,5,DL,11433,13930,18,9
19,5,DL,10397,14107,55,47
19,5,DL,14908,10397,1,-6
19,5,DL,11433,14107,7,4
19,5,DL,11433,14027,-7,-8
19,5,DL,14027,11433,19,75
19,5,DL,10821,11433,2,4
19,5,DL,11193,14107,-3,17
19,5,DL,11278,13487,3,-8
19,5,DL,10423,12478,10,5
19,5,DL,13487,13204,6,12
19,5,DL,13487,15016,0,-13
19,5,DL,14635,11433,8,36
19,5,DL,14107,12478,10,-11
19,5,DL,11042,10397,-6,-15
19,5,DL,10693,12892,0,-3
19,5,DL,11298,13487,-3,-11
19,5,DL,14869,14570,17,7
19,5,DL,11193,14747,12,29
19,5,DL,14747,11193,3,-8
19,5,DL,13487,11292,46,19
19,5,DL,14869,10721,-3,-5
19,5,DL,13930,11433,0,-13
19,5,DL,13244,12892,0,-13
19,5,DL,12892,13244,-3,-5
19,5,DL,11433,13244,-2,1
19,5,DL,11193,15304,57,50
19,5,DL,15304,11193,0,-3
19,5,DL,11298,14869,198,203
19,5,DL,14869,14107,-2,-10
19,5,DL,14107,14869,-4,31
19,5,DL,14570,14869,-2,-30
19,5,DL,14492,12892,-1,-8
19,5,DL,15016,14869,-3,5
19,5,DL,13487,14908,36,67
19,5,DL,13244,13204,38,38
19,5,DL,10397,12264,14,25
19,5,DL,12264,10397,36,13
19,5,DL,13487,10140,242,226
19,5,DL,10140,13487,-2,1
19,5,DL,13830,12892,-6,-29
19,5,DL,13931,10397,-3,-3
19,5,DL,11618,13487,128,180
19,5,DL,11697,12478,1,11
19,5,DL,12339,13487,11,-13
19,5,DL,11433,14057,-3,-3
19,5,DL,10299,14869,-2,6
19,5,DL,14307,10397,-7,29
19,5,DL,13244,14107,14,4
19,5,DL,13487,10423,53,35
19,5,DL,10423,13487,-5,-21
19,5,DL,10529,10397,-5,5
19,5,DL,12478,13495,-2,-3
19,5,DL,14831,13487,2,5
19,5,DL,13204,12892,-7,-17
19,5,DL,13487,15376,-7,-27
19,5,DL,15376,13487,10,4
19,5,DL,13487,12339,34,50
19,5,DL,10299,13487,-2,4
19,5,DL,13487,10299,-7,-12
19,5,DL,13487,11057,6,-5
19,5,DL,11057,13487,181,177
19,5,DL,12173,14869,174,182
19,5,DL,14869,12173,-4,24
19,5,DL,13303,13487,0,21
19,5,DL,14869,10821,1,-24
19,5,DL,11433,11697,90,115
19,5,DL,10397,12191,-4,-14
19,5,DL,12191,10397,-2,9
19,5,DL,14869,13204,-7,-16
19,5,DL,14869,13796,-1,-13
19,5,DL,13796,14869,46,84
19,5,DL,13342,11433,37,35
19,5,DL,11433,10423,31,17
19,5,DL,10423,11433,1,-9
19,5,DL,14869,15016,59,67
19,5,DL,14869,11618,0,-16
19,5,DL,11618,14869,1,-12
19,5,DL,13487,14100,25,13
19,5,DL,14100,13487,-6,-15
19,5,DL,12892,13830,230,202
19,5,DL,10721,14869,27,7
19,5,DL,14869,12339,-6,-21
19,5,DL,12339,14869,-8,-12
19,5,DL,10397,14908,26,24
19,5,DL,13487,14122,-3,-7
19,5,DL,14122,13487,4,39
19,5,DL,10397,13851,-3,-13
19,5,DL,13244,12953,2,11
19,5,DL,14683,13487,19,11
19,5,DL,12892,12889,28,28
19,5,DL,12889,12892,-1,-2
19,5,DL,13487,11618,1,1
19,5,DL,11292,12478,37,24
19,5,DL,10721,13204,23,20
19,5,DL,15304,13487,0,15
19,5,DL,14107,13244,-1,-19
19,5,DL,11433,12478,76,72
19,5,DL,14869,11298,-5,-22
19,5,DL,14771,12173,78,104
19,5,DL,12173,14771,0,-10
19,5,DL,13303,12892,-3,-15
19,5,DL,11433,11618,-1,35
19,5,DL,13487,14683,7,16
19,5,DL,10529,13487,10,4
19,5,DL,14831,14869,-2,-1
19,5,DL,13495,11433,38,25
19,5,DL,13487,10529,25,39
19,5,DL,10529,11433,-2,-10
19,5,DL,13495,12478,1,68
19,5,DL,12478,14057,-1,-12
19,5,DL,12953,14635,-1,0
19,5,DL,11433,10821,-1,5
19,5,DL,12478,14683,61,96
19,5,DL,14683,12478,31,36
19,5,DL,13244,12889,36,50
19,5,DL,11433,10529,14,5
19,5,DL,11292,11433,35,17
19,5,DL,13851,10397,-5,-4
19,5,DL,15304,12892,12,12
19,5,DL,11433,14100,-5,-15
19,5,DL,14100,11433,-9,-23
19,5,DL,13495,14869,-4,-23
19,5,DL,14869,13495,0,19
19,5,DL,11433,13198,19,11
19,5,DL,13198,11433,28,30
19,5,DL,12953,13244,35,48
19,5,DL,10397,14831,53,61
19,5,DL,14831,10397,111,91
19,5,DL,11433,14492,11,7
19,5,DL,14893,13487,-3,-18
19,5,DL,12892,11193,30,15
19,5,DL,11433,12451,1,7
19,5,DL,12451,11433,0,0
19,5,DL,13244,14869,77,66
19,5,DL,14107,11193,-1,10
19,5,DL,12892,13303,-3,-21
19,5,DL,12892,11066,-5,-11
19,5,DL,11066,12892,0,0
19,5,DL,14057,11433,-3,-25
19,5,DL,11193,14771,71,70
19,5,DL,14869,12954,0,-20
19,5,DL,12954,14869,-1,-12
19,5,DL,11298,11278,1,-8
19,5,DL,14679,11298,-2,8
19,5,DL,11298,14683,12,-3
19,5,DL,11298,13871,29,47
19,5,DL,13495,11298,2,0
19,5,DL,11298,13851,-4,-9
19,5,DL,10693,11298,-4,-7
19,5,DL,13303,11618,-4,6
19,5,DL,11066,11298,2,-17
19,5,DL,14771,11298,-5,-2
19,5,DL,11298,12889,-8,-14
19,5,DL,14683,11298,0,40
19,5,DL,11298,10693,0,-11
19,5,DL,14893,11298,-1,-2
19,5,DL,10721,11298,0,28
19,5,DL,13204,11298,30,26
19,5,DL,11298,12264,24,24
19,5,DL,13303,13930,-3,18
19,5,DL,13930,12892,8,6
19,5,DL,10423,11298,91,80
19,5,DL,13930,14100,-1,-8
19,5,DL,11298,14771,-2,5
19,5,DL,11298,13342,4,0
19,5,DL,13342,11298,0,-4
19,5,DL,12191,11298,-5,13
19,5,DL,11298,12191,19,46
19,5,DL,10693,12266,-3,-15
19,5,DL,11042,13851,-5,-23
19,5,DL,11057,12266,-3,-18
19,5,DL,10721,11042,273,266
19,5,DL,11042,14730,26,19
19,5,DL,11066,12266,41,29
19,5,DL,11618,13871,28,17
19,5,DL,12264,12266,61,57
19,5,DL,14869,14683,-2,-6
19,5,DL,11193,12266,303,292
19,5,DL,12266,14730,0,-15
19,5,DL,14730,13930,-2,-13
19,5,DL,13871,12266,-1,-2
19,5,DL,14492,12266,17,19
19,5,DL,12266,10423,-2,-10
19,5,DL,12266,14683,-3,14
19,5,DL,13342,11042,17,5
19,5,DL,15016,11042,12,24
19,5,DL,12339,12266,39,25
19,5,DL,13244,12266,26,30
19,5,DL,13851,12266,1,0
19,5,DL,14683,12266,100,97
19,5,DL,10792,11618,-2,-10
19,5,DL,12266,14635,-3,7
19,5,DL,14635,12266,63,55
19,5,DL,10423,12266,56,48
19,5,DL,10821,11042,5,-16
19,5,DL,11259,12266,16,21
19,5,DL,14524,11042,19,30
19,5,DL,10792,11042,-1,17
19,5,DL,11042,10693,31,15
19,5,DL,12266,13851,45,39
19,5,DL,12266,14492,36,41
19,5,DL,14492,12264,-3,-16
19,5,DL,12266,13931,-6,-22
19,5,DL,14492,11618,-3,22
19,5,DL,11618,14492,32,49
19,5,DL,14122,12266,1,-9
19,5,DL,11057,11618,0,-16
19,5,DL,12266,11057,-2,-9
19,5,DL,12266,11042,7,-7
19,5,DL,13930,14730,2,1
19,5,DL,14730,11618,-5,6
19,5,DL,13495,12266,65,52
19,5,DL,14027,12266,-5,-7
19,5,DL,13198,11042,-7,24
19,5,DL,11042,12264,-3,-18
19,5,DL,11042,14492,1,-2
19,5,DL,12266,11259,43,28
19,5,DL,14492,11042,19,13
19,5,DL,10529,11618,0,-18
19,5,DL,11618,10693,-5,-8
19,5,DL,11042,13930,30,10
19,5,DL,13930,11042,-4,-16
19,5,DL,11618,12451,-1,2
19,5,DL,12451,11618,-5,-20
19,5,DL,11066,11618,-2,-19
19,5,DL,11618,13931,-1,10
19,5,DL,11618,14122,8,-11
19,5,DL,14122,11618,0,2
19,5,DL,11618,14730,16,7
19,5,DL,11618,12264,22,14
19,5,DL,14492,13930,30,28
19,5,DL,11042,14027,-4,-8
19,5,DL,11618,14524,183,201
19,5,DL,11278,11042,-5,-13
19,5,DL,11618,11066,-1,35
19,5,DL,11618,13930,-2,-7
19,5,DL,12266,14869,-8,-13
19,5,DL,13487,12266,-3,3
19,5,DL,13930,11618,11,33
19,5,DL,10693,11618,40,27
19,5,DL,12266,13495,-7,-20
19,5,DL,13198,12266,28,18
19,5,DL,13930,13198,15,3
19,5,DL,14730,11042,47,49
19,5,DL,13931,12266,-7,-15
19,5,DL,13244,11618,-11,-4
19,5,DL,11618,13342,-1,-12
19,5,DL,11618,15016,-5,5
19,5,DL,12264,11042,-5,7
19,5,DL,11042,12953,109,107
19,5,DL,15016,11618,0,10
19,5,DL,12953,11042,116,105
19,5,DL,12266,10693,116,93
19,5,DL,12339,11618,-6,1
19,5,DL,11042,11618,42,18
19,5,DL,11618,10529,1,6
19,5,DL,11193,11618,-7,-6
19,5,DL,13931,11618,-5,-16
19,5,DL,11042,11278,44,12
19,5,DL,10693,11042,10,10
19,5,DL,11042,14524,35,28
19,5,DL,14524,11618,5,3
19,5,DL,11618,10721,-1,-17
19,5,DL,11618,12339,-1,8
19,5,DL,11618,10792,18,16
19,5,DL,11618,11193,31,24
19,5,DL,12266,12339,34,27
19,5,DL,10721,11618,6,14
19,5,DL,11618,11042,16,11
19,5,DL,13851,11042,13,14
19,5,DL,11042,10529,3,22
19,5,DL,10821,11618,-5,-6
19,5,DL,11042,14635,16,6
19,5,DL,12339,11292,-5,2
19,5,DL,13930,12339,0,-9
19,5,DL,11042,12339,30,2
19,5,DL,11618,13244,-4,-2
19,5,DL,12266,12451,-6,-3
19,5,DL,11042,13204,-3,-7
19,5,DL,13204,11042,1,-2
19,5,DL,10529,11042,-5,12
19,5,DL,11042,10792,-5,-24
19,5,DL,12266,10140,1,5
19,5,DL,12451,12266,55,46
19,5,DL,12266,15016,-2,8
19,5,DL,15016,13930,-5,12
19,5,DL,11618,13495,-5,-15
19,5,DL,11298,11042,-6,-27
19,5,DL,11042,13487,-7,-16
19,5,DL,12264,11618,-7,-6
19,5,DL,14869,11292,0,-5
19,5,DL,13871,11618,26,34
19,5,DL,11193,13930,0,-1
19,5,DL,13871,13930,7,4
19,5,DL,11042,11298,12,31
19,5,DL,11298,12266,-1,4
19,5,DL,12266,14122,0,10
19,5,DL,11042,11057,-1,-9
19,5,DL,12266,13342,28,36
19,5,DL,10792,13930,-4,-19
19,5,DL,10693,11292,4,-12
19,5,DL,11618,13198,11,-9
19,5,DL,10140,12266,12,51
19,5,DL,12266,13244,4,-2
19,5,DL,14635,11042,13,-10
19,5,DL,13342,11618,0,38
19,5,DL,11042,10821,-7,-18
19,5,DL,12266,11298,-1,2
19,5,DL,12266,13871,-5,-16
19,5,DL,11618,11278,0,-12
19,5,DL,11042,13342,-4,-14
19,5,DL,11618,11057,18,-1
19,5,DL,13244,13930,-3,-12
19,5,DL,11057,11042,-4,-4
19,5,DL,12264,11433,63,135
19,5,DL,12266,15376,340,325
19,5,DL,11278,11618,-3,6
19,5,DL,14730,12266,14,-4
19,5,DL,12266,13198,-9,-22
19,5,DL,13930,10693,-4,-4
19,5,DL,10721,10821,-1,-12
19,5,DL,10721,11057,-2,3
19,5,DL,10721,11278,-7,-17
19,5,DL,10721,11292,5,-16
19,5,DL,10721,11697,0,-2
19,5,DL,10721,12264,4,-8
19,5,DL,10721,12451,-5,6
19,5,DL,10721,12889,20,18
19,5,DL,10721,12892,-11,-10
19,5,DL,10721,12954,69,78
19,5,DL,10721,13495,82,70
19,5,DL,10721,13930,-7,-15
19,5,DL,10721,14027,-6,-10
19,5,DL,10721,14057,-3,3
19,5,DL,10721,14107,4,2
19,5,DL,10721,14122,39,27
19,5,DL,10721,14492,37,46
19,5,DL,10721,14524,3,5
19,5,DL,10721,14635,4,-6
19,5,DL,10721,14679,42,46
19,5,DL,10721,14747,17,37
19,5,DL,10721,14771,-5,14
19,5,DL,10721,14831,0,0
19,5,DL,10721,14843,0,0
19,5,DL,10721,15304,-6,-13
19,5,DL,10792,10721,16,5
19,5,DL,10792,11697,69,76
19,5,DL,10792,12478,86,91
19,5,DL,10792,13204,0,-7
19,5,DL,10792,14635,10,19
19,5,DL,10800,12478,100,84
19,5,DL,10821,10721,20,16
19,5,DL,11057,10721,0,8
19,5,DL,11057,12478,-3,16
19,5,DL,11278,10721,-2,-8
19,5,DL,11278,11697,-3,-14
19,5,DL,11278,13204,-3,-12
19,5,DL,11278,14843,197,251
19,5,DL,11278,15304,-2,-21
19,5,DL,11292,10721,-3,-11
19,5,DL,11298,10721,217,213
19,5,DL,11618,11697,-3,-13
19,5,DL,11618,13204,-8,-15
19,5,DL,11618,14027,30,34
19,5,DL,11618,14635,62,36
19,5,DL,11618,14843,-2,-13
19,5,DL,11618,15304,-1,-14
19,5,DL,11697,10423,-6,-14
19,5,DL,11697,10529,38,45
19,5,DL,11697,10721,29,41
19,5,DL,11697,10792,-2,-19
19,5,DL,11697,11278,73,92
19,5,DL,11697,11618,-5,-6
19,5,DL,11697,12892,-5,-32
19,5,DL,11697,14307,15,6
19,5,DL,11697,14492,-3,-12
19,5,DL,11697,14524,-2,-7
19,5,DL,11697,14771,-2,18
19,5,DL,11697,14843,14,16
19,5,DL,12191,12478,9,18
19,5,DL,12264,10721,2,18
19,5,DL,12264,12478,-9,2
19,5,DL,12264,12954,-5,8
19,5,DL,12451,10721,-2,-19
19,5,DL,12451,12478,-2,-14
19,5,DL,12451,14843,-1,-8
19,5,DL,12478,10140,23,27
19,5,DL,12478,10792,0,11
19,5,DL,12478,10800,75,118
19,5,DL,12478,11057,-1,-26
19,5,DL,12478,12191,-2,-8
19,5,DL,12478,12264,0,18
19,5,DL,12478,12451,-1,-7
19,5,DL,12478,12954,-3,-2
19,5,DL,12478,13796,-5,-4
19,5,DL,12478,13930,-5,-25
19,5,DL,12478,14027,-5,-7
19,5,DL,12478,14492,-6,-1
19,5,DL,12478,14635,70,42
19,5,DL,12478,14831,-6,10
19,5,DL,12478,14893,86,73
19,5,DL,12889,10721,-1,32
19,5,DL,12889,12954,19,25
19,5,DL,12892,10721,18,108
19,5,DL,12892,11697,92,132
19,5,DL,12954,10423,116,107
19,5,DL,12954,10721,-5,-14
19,5,DL,12954,12264,-2,-6
19,5,DL,12954,12478,-2,-16
19,5,DL,12954,12889,0,-9
19,5,DL,12954,13796,15,0
19,5,DL,12954,14057,-3,-8
19,5,DL,12954,14747,48,26
19,5,DL,12954,14771,19,29
19,5,DL,12954,14893,27,34
19,5,DL,13204,10423,32,36
19,5,DL,13204,10529,3,-12
19,5,DL,13204,10792,61,74
19,5,DL,13204,11278,-4,-48
19,5,DL,13204,11618,-3,-4
19,5,DL,13204,14307,0,6
19,5,DL,13204,14524,13,8
19,5,DL,13204,14843,18,17
19,5,DL,13495,10721,13,13
19,5,DL,13796,12478,3,-15
19,5,DL,13796,12954,1,-15
19,5,DL,13930,10721,48,41
19,5,DL,13930,12478,-2,-29
19,5,DL,14027,10529,-2,-11
19,5,DL,14027,10721,52,39
19,5,DL,14027,11618,18,10
19,5,DL,14027,12478,0,12
19,5,DL,14027,14843,-4,-7
19,5,DL,14057,10721,-4,3
19,5,DL,14057,12954,-1,-12
19,5,DL,14107,10721,-3,16
19,5,DL,14122,10721,-1,-5
19,5,DL,14307,11697,-4,-15
19,5,DL,14307,13204,-1,2
19,5,DL,14492,10721,-2,-29
19,5,DL,14492,11697,1,34
19,5,DL,14492,12478,43,19
19,5,DL,14524,10721,-5,-21
19,5,DL,14524,11697,-4,-12
19,5,DL,14524,13204,0,4
19,5,DL,14635,10721,9,-1
19,5,DL,14635,10792,8,11
19,5,DL,14635,11618,-1,17
19,5,DL,14635,12478,20,11
19,5,DL,14679,10721,-1,53
19,5,DL,14747,10721,-3,-7
19,5,DL,14747,12954,-1,6
19,5,DL,14771,10423,145,156
19,5,DL,14771,10721,71,59
19,5,DL,14771,11697,17,6
19,5,DL,14771,12954,4,6
19,5,DL,14831,10721,11,33
19,5,DL,14831,12478,-3,-1
19,5,DL,14843,10529,8,-19
19,5,DL,14843,10721,26,-1
19,5,DL,14843,11278,-6,-19
19,5,DL,14843,11618,4,26
19,5,DL,14843,11697,12,30
19,5,DL,14843,12451,27,21
19,5,DL,14843,13204,-4,19
19,5,DL,14843,14027,-5,13
19,5,DL,14843,15304,-3,-13
